epoch,accuracy,iou,loss,lr,val_accuracy,val_iou,val_loss
0,0.7841623425483704,0.4673366844654083,0.46186864376068115,0.001,0.3884901702404022,0.3265306055545807,5.504237174987793
1,0.810772716999054,0.6080402135848999,0.4118058979511261,0.001,0.39392152428627014,0.3469387888908386,2.7258663177490234
2,0.8225855827331543,0.623115599155426,0.3877376317977905,0.001,0.7821527719497681,0.6530612111091614,0.4657084345817566
3,0.8289559483528137,0.6532663106918335,0.37476474046707153,0.001,0.8130749464035034,0.6530612111091614,0.4105599522590637
4,0.8349176645278931,0.6733668446540833,0.36482736468315125,0.001,0.7830802798271179,0.6122449040412903,0.5153452157974243
5,0.8380835652351379,0.6733668446540833,0.3576987087726593,0.001,0.7946953177452087,0.6530612111091614,0.5047345161437988
6,0.8464403748512268,0.6733668446540833,0.3447842001914978,0.001,0.8052007555961609,0.6122449040412903,0.49594205617904663
7,0.866322934627533,0.7738693356513977,0.31272175908088684,0.000100000005,0.8424338698387146,0.5918367505073547,0.33227357268333435
8,0.8715079426765442,0.7788944840431213,0.3017391860485077,0.000100000005,0.8432955741882324,0.5918367505073547,0.3303121328353882
9,0.8737282156944275,0.7839195728302002,0.2960440218448639,0.000100000005,0.8448575735092163,0.5918367505073547,0.3279235363006592
10,0.8753196001052856,0.7939698696136475,0.2916194796562195,0.000100000005,0.8441124558448792,0.5918367505073547,0.32888007164001465
11,0.8765542507171631,0.7989949584007263,0.2878381609916687,0.000100000005,0.842047929763794,0.5918367505073547,0.33129382133483887
12,0.8776133060455322,0.80402010679245,0.2844448685646057,0.000100000005,0.8388693928718567,0.5510203838348389,0.3349664509296417
13,0.8807440400123596,0.8190954923629761,0.2770545482635498,1.0000001e-05,0.8385341167449951,0.5714285969734192,0.33114951848983765
14,0.8812041282653809,0.8190954923629761,0.2754877805709839,1.0000001e-05,0.8408526182174683,0.5714285969734192,0.32787275314331055
15,0.8814902901649475,0.8190954923629761,0.27476245164871216,1.0000001e-05,0.8415756821632385,0.5714285969734192,0.32687872648239136
16,0.8817329406738281,0.8190954923629761,0.2741665542125702,1.0000001e-05,0.8417589068412781,0.5714285969734192,0.32667219638824463
17,0.881957471370697,0.8241205811500549,0.27362704277038574,1.0000001e-05,0.8418540358543396,0.5714285969734192,0.3265515863895416
18,0.8821555376052856,0.8241205811500549,0.27312037348747253,1.0000001e-05,0.8420488834381104,0.5714285969734192,0.3263106048107147
19,0.8823450803756714,0.8241205811500549,0.27263450622558594,1.0000001e-05,0.8421762585639954,0.5714285969734192,0.3261614739894867
20,0.8825249075889587,0.8291457295417786,0.2721617817878723,1.0000001e-05,0.8423141241073608,0.5714285969734192,0.32598429918289185
21,0.8827094435691833,0.8291457295417786,0.2716987133026123,1.0000001e-05,0.8424936532974243,0.5714285969734192,0.3257499933242798
22,0.8828808665275574,0.8291457295417786,0.2712452709674835,1.0000001e-05,0.8426374197006226,0.5714285969734192,0.3255310356616974
23,0.8830483555793762,0.8291457295417786,0.27079707384109497,1.0000001e-05,0.8427292704582214,0.5714285969734192,0.3253551125526428
24,0.8832130432128906,0.8291457295417786,0.27035224437713623,1.0000001e-05,0.8428268432617188,0.5714285969734192,0.32518601417541504
25,0.8833803534507751,0.8291457295417786,0.26991087198257446,1.0000001e-05,0.8430115580558777,0.5714285969734192,0.3249019384384155
26,0.8835395574569702,0.8291457295417786,0.26947492361068726,1.0000001e-05,0.8431243896484375,0.5714285969734192,0.3247183859348297
27,0.8837005496025085,0.8291457295417786,0.2690436542034149,1.0000001e-05,0.8432968854904175,0.5714285969734192,0.324431449174881
